Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
5.99,15.9,0.0221,147000,0.000447
6.05,16.2,0.0268,150000,0.000542
6.10,16.8,0.0314,156000,0.000635
6.16,17.4,0.0359,161000,0.000726
6.21,18.1,0.0407,168000,0.000823
6.27,18.8,0.0452,174000,0.000914
6.33,19.4,0.0498,181000,0.00101
6.38,20.4,0.0545,189000,0.00110
6.44,21.3,0.0590,198000,0.00119
6.49,22.2,0.0637,206000,0.00129
6.55,23.3,0.0683,216000,0.00138
6.61,24.2,0.0728,225000,0.00147
6.66,25.4,0.0775,236000,0.00157
6.72,26.4,0.0821,245000,0.00166
6.77,27.4,0.0866,254000,0.00175
6.83,28.5,0.0914,265000,0.00185
6.89,29.4,0.0959,273000,0.00194
6.94,30.6,0.101,284000,0.00203
7.00,31.3,0.105,291000,0.00213
7.05,32.1,0.110,298000,0.00222
7.11,33.1,0.114,307000,0.00231
7.17,34.3,0.119,319000,0.00241
7.22,35.3,0.124,328000,0.00250
7.28,36.5,0.128,339000,0.00259
7.33,37.3,0.133,346000,0.00269
7.39,38.4,0.137,357000,0.00278
7.45,39.8,0.142,369000,0.00287
7.50,41.0,0.147,381000,0.00297
7.56,42.3,0.151,392000,0.00306
7.61,43.8,0.156,406000,0.00315
7.67,45.4,0.161,422000,0.00325
7.73,46.7,0.165,434000,0.00334
7.78,48.2,0.170,447000,0.00344
7.84,49.5,0.174,460000,0.00353
7.89,51.1,0.179,474000,0.00362
7.95,52.6,0.184,489000,0.00372
8.01,54.3,0.188,504000,0.00381
8.06,56.3,0.193,523000,0.00390
8.12,58.1,0.198,539000,0.00400
8.17,59.8,0.202,555000,0.00409
8.23,61.5,0.207,571000,0.00418
8.29,63.3,0.211,587000,0.00427
8.34,65.4,0.216,607000,0.00437
8.40,68.0,0.221,631000,0.00446
8.45,71.3,0.225,662000,0.00455
8.51,75.2,0.230,698000,0.00465
8.57,78.7,0.234,730000,0.00474
8.62,82.3,0.239,764000,0.00483
8.68,87.8,0.244,815000,0.00493
8.73,92.1,0.248,855000,0.00502
8.79,96.2,0.253,893000,0.00511
8.85,99.8,0.258,926000,0.00521
8.90,103,0.262,960000,0.00530
8.96,107,0.267,994000,0.00539
9.01,110,0.271,1020000,0.00549
9.07,113,0.276,1050000,0.00558
9.13,116,0.281,1080000,0.00568
9.18,119,0.285,1110000,0.00577
9.24,122,0.290,1130000,0.00586
9.29,125,0.295,1160000,0.00596
9.35,127,0.299,1180000,0.00605
9.41,129,0.304,1200000,0.00615
9.46,132,0.308,1220000,0.00624
9.52,134,0.313,1240000,0.00633
9.57,136,0.318,1260000,0.00643
9.63,137,0.322,1270000,0.00652
