Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
3.97,21.2,0.0176,192000,0.000350
4.01,21.9,0.0207,198000,0.000412
4.05,22.9,0.0242,207000,0.000481
4.10,24.0,0.0275,217000,0.000547
4.14,25.0,0.0311,226000,0.000617
4.18,25.9,0.0346,235000,0.000688
4.22,26.8,0.0380,242000,0.000756
4.26,28.0,0.0414,253000,0.000823
4.30,28.9,0.0450,261000,0.000895
4.34,29.6,0.0484,268000,0.000963
4.39,30.4,0.0519,275000,0.00103
4.43,31.3,0.0553,283000,0.00110
4.47,32.2,0.0589,291000,0.00117
4.51,33.1,0.0623,299000,0.00124
4.55,33.9,0.0656,307000,0.00130
4.59,34.8,0.0693,315000,0.00138
4.63,35.6,0.0728,322000,0.00145
4.68,36.3,0.0762,328000,0.00151
4.72,36.9,0.0797,334000,0.00158
4.76,37.6,0.0832,340000,0.00165
4.80,38.1,0.0867,344000,0.00172
4.84,38.6,0.0900,349000,0.00179
4.88,39.4,0.0935,356000,0.00186
4.92,40.0,0.0971,361000,0.00193
4.97,40.5,0.101,366000,0.00200
5.01,41.2,0.104,372000,0.00207
5.05,42.0,0.107,379000,0.00214
5.09,42.9,0.111,388000,0.00220
5.13,43.7,0.114,395000,0.00227
5.17,44.6,0.118,404000,0.00234
5.21,45.7,0.121,413000,0.00241
5.25,46.8,0.125,423000,0.00248
5.30,48.0,0.128,434000,0.00255
5.34,49.0,0.132,443000,0.00261
5.38,50.3,0.135,454000,0.00269
5.42,51.5,0.139,465000,0.00276
5.46,52.8,0.142,477000,0.00282
5.50,54.1,0.146,489000,0.00289
5.54,55.3,0.149,500000,0.00296
5.59,56.3,0.153,509000,0.00303
5.63,57.3,0.156,518000,0.00310
5.67,58.7,0.159,530000,0.00317
5.71,59.8,0.163,540000,0.00324
5.75,61.0,0.166,551000,0.00331
5.79,62.0,0.170,560000,0.00337
5.83,63.3,0.173,572000,0.00344
5.88,64.7,0.177,585000,0.00351
5.92,66.1,0.180,598000,0.00358
5.96,67.4,0.184,610000,0.00365
6.00,68.7,0.187,621000,0.00372
6.04,70.0,0.191,632000,0.00379
6.08,71.2,0.194,644000,0.00386
6.12,72.6,0.198,657000,0.00393
6.17,74.1,0.201,670000,0.00400
6.21,75.2,0.205,679000,0.00407
6.25,76.4,0.208,691000,0.00414
6.29,78.1,0.212,706000,0.00421
6.33,79.6,0.215,720000,0.00427
6.37,81.4,0.219,735000,0.00434
6.41,83.3,0.222,753000,0.00441
6.45,85.6,0.226,774000,0.00448
6.50,88.1,0.229,796000,0.00455
6.54,90.8,0.232,821000,0.00462
6.58,94.1,0.236,851000,0.00469
6.62,97.6,0.239,882000,0.00476
6.66,101,0.243,912000,0.00483
6.70,104,0.246,943000,0.00489
6.74,108,0.250,979000,0.00497
6.79,112,0.253,1010000,0.00503
6.83,115,0.257,1040000,0.00510
6.87,119,0.260,1080000,0.00517
6.91,123,0.264,1110000,0.00524
6.95,127,0.267,1140000,0.00531
6.99,131,0.271,1180000,0.00538
7.03,135,0.274,1220000,0.00545
7.08,139,0.278,1250000,0.00552
7.12,143,0.281,1290000,0.00559
7.16,147,0.285,1330000,0.00566
7.20,151,0.288,1360000,0.00573
7.24,155,0.292,1400000,0.00579
7.28,159,0.295,1440000,0.00586
