Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
4.21,18.4,0.0174,165000,0.000347
4.29,19.5,0.0230,176000,0.000459
4.36,20.9,0.0292,188000,0.000581
4.44,22.5,0.0353,203000,0.000705
4.51,24.1,0.0416,217000,0.000830
4.59,25.5,0.0478,230000,0.000953
4.66,26.8,0.0541,241000,0.00108
4.74,28.2,0.0603,253000,0.00120
4.81,30.0,0.0666,270000,0.00133
4.89,31.5,0.0728,283000,0.00145
4.96,32.8,0.0792,296000,0.00158
5.04,34.3,0.0855,308000,0.00170
5.11,35.5,0.0919,319000,0.00183
5.19,36.9,0.0982,332000,0.00196
5.26,38.3,0.105,345000,0.00209
5.33,39.6,0.111,356000,0.00221
5.41,40.7,0.117,366000,0.00234
5.48,42.1,0.123,379000,0.00246
5.56,43.3,0.130,390000,0.00259
5.63,44.9,0.136,404000,0.00271
5.71,46.3,0.142,417000,0.00283
5.78,47.5,0.148,428000,0.00296
5.86,48.8,0.155,439000,0.00308
5.93,50.1,0.161,451000,0.00321
6.01,51.4,0.167,463000,0.00333
6.08,52.6,0.173,473000,0.00345
6.16,54.0,0.180,486000,0.00358
6.23,55.6,0.186,500000,0.00370
6.31,57.3,0.192,516000,0.00383
6.38,59.0,0.198,531000,0.00395
6.46,61.1,0.205,550000,0.00408
6.53,63.3,0.211,570000,0.00420
6.61,65.8,0.217,592000,0.00433
6.68,68.3,0.223,615000,0.00445
6.76,71.2,0.230,641000,0.00458
6.83,73.9,0.236,665000,0.00470
6.91,76.7,0.242,691000,0.00483
6.98,79.0,0.248,711000,0.00495
7.05,81.7,0.255,735000,0.00508
7.13,83.6,0.261,753000,0.00520
7.20,86.0,0.267,774000,0.00533
7.28,87.9,0.273,791000,0.00545
7.35,90.0,0.280,810000,0.00558
7.43,91.9,0.286,827000,0.00570
7.50,94.6,0.292,852000,0.00583
7.58,97.5,0.299,878000,0.00595
7.65,101,0.305,907000,0.00608
7.73,104,0.311,935000,0.00620
7.80,107,0.317,963000,0.00633
7.88,110,0.324,989000,0.00645
7.95,113,0.330,1020000,0.00658
8.03,116,0.336,1040000,0.00670
8.10,118,0.342,1070000,0.00683
8.18,121,0.349,1090000,0.00695
8.25,124,0.355,1110000,0.00708
8.33,126,0.361,1130000,0.00720
8.40,128,0.368,1160000,0.00733
8.48,131,0.374,1180000,0.00745
8.55,135,0.380,1210000,0.00758
8.63,138,0.386,1240000,0.00770
8.70,142,0.393,1280000,0.00783
8.77,145,0.399,1310000,0.00795
8.85,149,0.405,1340000,0.00808
8.92,152,0.411,1370000,0.00820
9.00,156,0.417,1400000,0.00832
9.07,159,0.424,1430000,0.00845
9.15,163,0.430,1460000,0.00857
9.22,166,0.436,1490000,0.00870
9.30,170,0.442,1530000,0.00882
9.37,173,0.449,1560000,0.00895
9.45,177,0.455,1590000,0.00907
9.52,180,0.461,1620000,0.00920
9.60,184,0.467,1660000,0.00932
9.67,188,0.474,1690000,0.00944
9.75,191,0.480,1720000,0.00957
9.82,195,0.486,1750000,0.00969
9.90,198,0.492,1780000,0.00982
9.97,202,0.499,1820000,0.00994
10.0,206,0.505,1850000,0.0101
10.1,210,0.511,1890000,0.0102
10.2,214,0.517,1930000,0.0103
10.3,218,0.524,1970000,0.0104
10.3,223,0.530,2000000,0.0106
10.4,227,0.536,2050000,0.0107
10.5,232,0.542,2090000,0.0108
10.6,237,0.549,2130000,0.0109
10.6,242,0.555,2180000,0.0111
10.7,247,0.561,2220000,0.0112
10.8,252,0.567,2270000,0.0113
10.9,258,0.574,2320000,0.0114
10.9,263,0.580,2360000,0.0116
11.0,269,0.586,2420000,0.0117
11.1,274,0.592,2460000,0.0118
11.2,280,0.599,2520000,0.0119
11.2,285,0.605,2570000,0.0121
11.3,292,0.611,2630000,0.0122
11.4,298,0.617,2680000,0.0123
11.5,305,0.624,2740000,0.0124
11.5,311,0.630,2800000,0.0126
11.6,318,0.636,2860000,0.0127
11.7,324,0.642,2920000,0.0128
11.8,332,0.649,2990000,0.0129
11.8,339,0.655,3050000,0.0131
11.9,346,0.661,3120000,0.0132
12.0,354,0.668,3180000,0.0133
12.1,362,0.674,3260000,0.0134
12.1,369,0.680,3320000,0.0136
12.2,377,0.686,3390000,0.0137
12.3,385,0.692,3460000,0.0138
12.4,393,0.699,3540000,0.0139
12.4,402,0.705,3620000,0.0141
12.5,411,0.711,3700000,0.0142
12.6,420,0.717,3780000,0.0143
12.7,430,0.724,3870000,0.0144
12.7,439,0.730,3950000,0.0146
12.8,450,0.736,4050000,0.0147
12.9,460,0.742,4140000,0.0148
13.0,471,0.749,4240000,0.0149
13.0,481,0.755,4330000,0.0151
13.1,492,0.761,4430000,0.0152
13.2,503,0.767,4520000,0.0153
13.3,515,0.774,4640000,0.0154
13.3,529,0.780,4760000,0.0156
13.4,545,0.786,4910000,0.0157
13.5,561,0.792,5050000,0.0158
13.6,577,0.799,5190000,0.0159
13.6,593,0.805,5340000,0.0161
13.7,611,0.811,5500000,0.0162
13.8,629,0.817,5660000,0.0163
13.9,647,0.824,5830000,0.0164
13.9,665,0.830,5990000,0.0166
14.0,684,0.836,6160000,0.0167
14.1,703,0.843,6330000,0.0168
14.2,723,0.849,6500000,0.0169
14.2,742,0.855,6680000,0.0170
14.3,762,0.861,6860000,0.0172
14.4,783,0.868,7040000,0.0173
14.5,804,0.874,7230000,0.0174
