Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
5.12,16.1,0.0179,142000,0.000366
5.16,15.7,0.0204,138000,0.000416
5.19,16.0,0.0234,141000,0.000478
5.23,16.3,0.0264,143000,0.000539
5.27,16.5,0.0296,145000,0.000604
5.30,16.9,0.0326,148000,0.000665
5.34,17.6,0.0355,154000,0.000726
5.38,18.1,0.0385,159000,0.000787
5.41,18.9,0.0417,166000,0.000852
5.45,19.6,0.0447,172000,0.000913
5.49,20.2,0.0477,177000,0.000975
5.53,20.8,0.0507,183000,0.00104
5.56,21.6,0.0538,190000,0.00110
5.60,22.1,0.0569,194000,0.00116
5.64,22.7,0.0598,199000,0.00122
5.67,23.4,0.0628,205000,0.00128
5.71,24.0,0.0659,211000,0.00135
5.75,24.6,0.0690,216000,0.00141
5.78,25.2,0.0719,222000,0.00147
5.82,25.8,0.0749,227000,0.00153
5.86,26.5,0.0780,232000,0.00159
5.89,27.0,0.0811,237000,0.00166
5.93,27.6,0.0841,242000,0.00172
5.97,28.1,0.0870,247000,0.00178
6.00,28.7,0.0901,252000,0.00184
6.04,29.4,0.0932,258000,0.00190
6.08,30.0,0.0962,264000,0.00196
6.12,30.6,0.0991,269000,0.00202
6.15,31.3,0.102,275000,0.00208
6.19,32.0,0.105,281000,0.00215
6.23,32.5,0.108,285000,0.00221
6.26,33.1,0.111,290000,0.00227
6.30,33.7,0.114,296000,0.00233
6.34,34.3,0.117,301000,0.00239
6.37,35.0,0.120,307000,0.00245
6.41,35.7,0.123,313000,0.00251
6.45,36.4,0.126,320000,0.00258
6.48,37.0,0.129,325000,0.00264
6.52,38.0,0.132,333000,0.00270
6.56,38.8,0.135,341000,0.00276
6.60,39.8,0.138,349000,0.00282
6.63,40.8,0.141,358000,0.00288
6.67,41.7,0.144,366000,0.00295
6.71,42.6,0.147,374000,0.00301
6.74,43.3,0.150,381000,0.00307
6.78,44.3,0.153,389000,0.00313
6.82,45.2,0.156,397000,0.00319
6.85,46.1,0.159,405000,0.00326
6.89,47.1,0.162,414000,0.00331
6.93,48.0,0.165,421000,0.00338
6.96,49.0,0.168,431000,0.00344
7.00,50.0,0.171,439000,0.00350
7.04,50.7,0.174,446000,0.00356
7.08,51.7,0.177,454000,0.00362
7.11,52.7,0.180,463000,0.00369
7.15,53.7,0.183,471000,0.00375
7.19,54.6,0.186,480000,0.00381
7.22,55.5,0.189,487000,0.00387
7.26,56.3,0.192,495000,0.00393
7.30,57.2,0.195,503000,0.00399
7.33,58.3,0.198,512000,0.00405
7.37,59.4,0.201,522000,0.00411
7.41,60.5,0.204,532000,0.00418
7.44,61.8,0.208,543000,0.00424
