Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
5.78,16.2,0.0177,147000,0.000358
5.81,16.0,0.0197,145000,0.000398
5.84,16.4,0.0222,149000,0.000450
5.87,16.7,0.0248,151000,0.000501
5.90,17.1,0.0273,155000,0.000553
5.93,17.4,0.0299,157000,0.000605
5.96,17.7,0.0324,160000,0.000655
5.99,18.1,0.0348,164000,0.000705
6.02,18.7,0.0375,169000,0.000759
6.05,19.3,0.0400,175000,0.000809
6.08,19.9,0.0425,180000,0.000860
6.11,20.6,0.0450,187000,0.000911
6.15,21.3,0.0475,192000,0.000962
6.18,22.0,0.0503,199000,0.00102
6.21,22.6,0.0528,204000,0.00107
6.24,23.3,0.0552,210000,0.00112
6.27,24.0,0.0577,217000,0.00117
6.30,24.7,0.0602,224000,0.00122
6.33,25.4,0.0628,230000,0.00127
6.36,26.0,0.0654,236000,0.00132
6.39,26.7,0.0678,242000,0.00137
6.42,27.5,0.0704,249000,0.00142
6.45,28.1,0.0728,255000,0.00147
6.48,28.9,0.0755,261000,0.00153
6.51,29.6,0.0781,267000,0.00158
6.54,30.2,0.0804,273000,0.00163
6.57,30.9,0.0830,280000,0.00168
6.60,31.5,0.0856,285000,0.00173
6.64,32.2,0.0881,292000,0.00178
6.67,32.8,0.0907,296000,0.00183
6.70,33.4,0.0931,303000,0.00188
6.73,34.2,0.0956,309000,0.00193
6.76,34.6,0.0981,313000,0.00199
6.79,35.4,0.101,320000,0.00204
6.82,35.9,0.103,325000,0.00209
6.85,36.4,0.106,330000,0.00214
6.88,37.1,0.108,335000,0.00219
6.91,37.7,0.111,341000,0.00224
6.94,38.4,0.113,348000,0.00229
6.97,39.0,0.116,353000,0.00234
7.00,39.8,0.118,360000,0.00239
7.03,40.4,0.121,366000,0.00244
7.06,41.1,0.123,372000,0.00249
7.09,41.9,0.126,379000,0.00255
7.12,42.5,0.128,384000,0.00260
7.16,43.1,0.131,390000,0.00265
7.19,43.9,0.133,397000,0.00270
7.22,44.4,0.136,402000,0.00275
7.25,45.4,0.138,411000,0.00280
7.28,46.1,0.141,417000,0.00285
7.31,46.9,0.143,424000,0.00290
7.34,47.5,0.146,430000,0.00295
7.37,48.0,0.148,435000,0.00300
7.40,48.8,0.151,442000,0.00306
7.43,49.6,0.154,449000,0.00311
