Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
25.4,52.2,0.0204,464000,0.000410
25.5,64.8,0.0354,576000,0.000712
25.7,78.3,0.0503,696000,0.00101
25.9,93.4,0.0651,830000,0.00131
26.1,110,0.0800,981000,0.00161
26.3,129,0.0949,1150000,0.00191
26.4,150,0.110,1330000,0.00221
26.6,173,0.125,1530000,0.00251
26.8,198,0.140,1760000,0.00281
27.0,225,0.155,2000000,0.00311
27.2,257,0.169,2280000,0.00341
27.3,290,0.184,2580000,0.00371
27.5,326,0.199,2890000,0.00401
27.7,365,0.214,3240000,0.00431
27.9,405,0.229,3600000,0.00461
28.1,446,0.244,3960000,0.00490
28.2,486,0.259,4320000,0.00520
28.4,532,0.274,4730000,0.00551
28.6,579,0.289,5140000,0.00581
28.8,626,0.304,5560000,0.00611
29.0,673,0.318,5980000,0.00640
29.1,721,0.333,6400000,0.00670
29.3,769,0.348,6830000,0.00700
29.5,816,0.363,7250000,0.00730
29.7,865,0.378,7680000,0.00760
29.9,914,0.393,8120000,0.00790
30.0,964,0.408,8570000,0.00820
30.2,1020,0.423,9040000,0.00850
30.4,1070,0.438,9530000,0.00880
30.6,1130,0.453,10100000,0.00911
30.8,1200,0.468,10600000,0.00940
30.9,1260,0.482,11200000,0.00970
31.1,1330,0.497,11800000,0.0100
31.3,1400,0.512,12400000,0.0103
31.5,1470,0.527,13000000,0.0106
31.7,1540,0.542,13700000,0.0109
31.8,1620,0.557,14400000,0.0112
32.0,1710,0.572,15200000,0.0115
32.2,1820,0.587,16200000,0.0118
32.4,1940,0.601,17200000,0.0121
32.6,2060,0.616,18300000,0.0124
32.7,2170,0.631,19300000,0.0127
32.9,2280,0.646,20200000,0.0130
33.1,2380,0.661,21200000,0.0133
33.3,2500,0.676,22200000,0.0136
33.5,2610,0.691,23200000,0.0139
33.6,2730,0.706,24200000,0.0142
33.8,2850,0.721,25300000,0.0145
34.0,2960,0.736,26300000,0.0148
34.2,3080,0.750,27300000,0.0151
34.4,3200,0.765,28400000,0.0154
34.5,3320,0.780,29500000,0.0157
34.7,3450,0.795,30700000,0.0160
34.9,3580,0.810,31800000,0.0163
35.1,3710,0.825,33000000,0.0166
35.2,3840,0.840,34100000,0.0169
35.4,3950,0.855,35100000,0.0172
35.6,4060,0.869,36000000,0.0175
35.8,4160,0.884,37000000,0.0178
36.0,4270,0.899,38000000,0.0181
36.1,4390,0.914,39000000,0.0184
36.3,4510,0.929,40000000,0.0187
36.5,4620,0.944,41100000,0.0190
36.7,4750,0.959,42200000,0.0193
36.9,4890,0.974,43400000,0.0196
37.0,5020,0.989,44600000,0.0199
37.2,5160,1.00,45800000,0.0202
37.4,5300,1.02,47100000,0.0205
37.6,5440,1.03,48300000,0.0208
37.8,5570,1.05,49500000,0.0211
37.9,5700,1.06,50700000,0.0214
38.1,5820,1.08,51700000,0.0217
38.3,5940,1.09,52800000,0.0220
38.5,6060,1.11,53800000,0.0223
38.7,6180,1.12,54900000,0.0226
38.8,6300,1.14,56000000,0.0229
39.0,6430,1.15,57100000,0.0232
39.2,6560,1.17,58300000,0.0235
39.4,6700,1.18,59500000,0.0238
39.6,6850,1.20,60800000,0.0241
39.7,7000,1.21,62200000,0.0244
39.9,7150,1.23,63500000,0.0247
40.1,7300,1.24,64800000,0.0250
40.3,7440,1.26,66100000,0.0253
40.5,7580,1.27,67300000,0.0256
40.6,7720,1.29,68600000,0.0259
40.8,7870,1.30,69900000,0.0262
41.0,8010,1.32,71200000,0.0265
41.2,8160,1.33,72500000,0.0268
41.4,8300,1.35,73800000,0.0271
41.5,8440,1.36,75000000,0.0274
41.7,8590,1.38,76300000,0.0277
41.9,8730,1.39,77500000,0.0280
42.1,8860,1.41,78700000,0.0283
42.3,9000,1.42,80000000,0.0286
42.4,9130,1.44,81100000,0.0289
42.6,9260,1.45,82300000,0.0292
42.8,9380,1.47,83300000,0.0295
43.0,9440,1.48,83900000,0.0298
43.2,9480,1.49,84200000,0.0301
43.3,9550,1.51,84900000,0.0304
43.5,9660,1.52,85800000,0.0307
43.7,9800,1.54,87100000,0.0310
43.9,9950,1.55,88400000,0.0313
44.1,10100,1.57,89700000,0.0316
44.2,10300,1.58,91100000,0.0319
44.4,10400,1.60,92500000,0.0322
44.6,10600,1.61,93900000,0.0325
44.8,10700,1.63,95400000,0.0328
45.0,10900,1.64,96800000,0.0331
45.1,11000,1.66,98100000,0.0334
45.3,11200,1.67,99500000,0.0337
45.5,11400,1.69,101000000,0.0340
45.7,11500,1.70,102000000,0.0343
45.8,11700,1.72,104000000,0.0346
46.0,11800,1.73,105000000,0.0349
46.2,12000,1.75,106000000,0.0352
46.4,12100,1.76,108000000,0.0355
46.6,12300,1.78,109000000,0.0358
46.7,12400,1.79,110000000,0.0361
46.9,12600,1.81,112000000,0.0364
47.1,12700,1.82,113000000,0.0367
47.3,12900,1.84,114000000,0.0370
47.5,13000,1.85,115000000,0.0373
47.6,13100,1.87,117000000,0.0376
47.8,13300,1.88,118000000,0.0379
48.0,13400,1.90,119000000,0.0382
48.2,13500,1.91,120000000,0.0385
48.4,13600,1.93,121000000,0.0387
48.5,13700,1.94,122000000,0.0391
48.7,13800,1.96,122000000,0.0394
48.9,13800,1.97,122000000,0.0397
49.1,13600,1.99,121000000,0.0400
49.3,10100,2.00,90100000,0.0403
49.4,10200,2.02,90700000,0.0406
49.6,10400,2.03,92100000,0.0409
49.8,10500,2.05,93600000,0.0412
50.0,10700,2.06,95200000,0.0415
50.2,10900,2.08,96600000,0.0418
50.3,11000,2.09,98000000,0.0420
50.5,11200,2.11,99300000,0.0423
50.7,11300,2.12,101000000,0.0427
50.9,11500,2.14,102000000,0.0429
51.1,11600,2.15,103000000,0.0432
51.2,11800,2.17,104000000,0.0435
51.4,11900,2.18,106000000,0.0438
51.6,12000,2.20,107000000,0.0441
51.8,12200,2.21,108000000,0.0444
52.0,12300,2.22,109000000,0.0447
52.1,12500,2.24,111000000,0.0450
52.3,12600,2.25,112000000,0.0453
52.5,12700,2.27,113000000,0.0457
52.7,12900,2.28,114000000,0.0460
52.9,13000,2.30,116000000,0.0462
53.0,13100,2.31,117000000,0.0465
53.2,13300,2.33,118000000,0.0468
53.4,13400,2.34,119000000,0.0471
53.6,13500,2.36,120000000,0.0474
53.8,13700,2.37,121000000,0.0477
53.9,13800,2.39,122000000,0.0480
54.1,13800,2.40,123000000,0.0483
54.3,13900,2.42,124000000,0.0486
54.5,14000,2.43,124000000,0.0489
54.7,14000,2.45,125000000,0.0492
54.8,14100,2.46,125000000,0.0495
55.0,14100,2.48,125000000,0.0498
55.2,14100,2.49,125000000,0.0501
55.4,14100,2.51,126000000,0.0504
55.6,14200,2.52,126000000,0.0507
55.7,14200,2.54,126000000,0.0510
55.9,14200,2.55,126000000,0.0513
56.1,14200,2.57,126000000,0.0516
56.3,14200,2.58,126000000,0.0519
56.5,14200,2.60,127000000,0.0522
56.6,14300,2.61,127000000,0.0525
56.8,14300,2.63,127000000,0.0528
57.0,14300,2.64,127000000,0.0531
57.2,14300,2.66,127000000,0.0534
57.3,14300,2.67,127000000,0.0537
57.5,14300,2.69,127000000,0.0540
57.7,14400,2.70,128000000,0.0543
57.9,14400,2.72,128000000,0.0546
58.1,14400,2.73,128000000,0.0549
58.2,14500,2.75,128000000,0.0552
58.4,14500,2.76,129000000,0.0555
58.6,14500,2.78,129000000,0.0558
58.8,14600,2.79,130000000,0.0561
59.0,14600,2.81,130000000,0.0564
59.1,14700,2.82,130000000,0.0567
59.3,14700,2.84,131000000,0.0570
59.5,14800,2.85,131000000,0.0573
59.7,14800,2.87,132000000,0.0576
59.9,14800,2.88,132000000,0.0579
60.0,14900,2.90,132000000,0.0582
60.2,14900,2.91,132000000,0.0585
60.4,14900,2.92,132000000,0.0588
60.6,14900,2.94,133000000,0.0591
60.8,14900,2.95,133000000,0.0594
60.9,15000,2.97,133000000,0.0597
61.1,15000,2.98,133000000,0.0600
61.3,15000,3.00,133000000,0.0603
61.5,15000,3.01,133000000,0.0606
61.7,15000,3.03,133000000,0.0609
61.8,15000,3.04,133000000,0.0612
62.0,15000,3.06,133000000,0.0615
62.2,15000,3.07,133000000,0.0618
62.4,14900,3.09,133000000,0.0621
62.6,14800,3.10,132000000,0.0624
62.7,14800,3.12,131000000,0.0627
62.9,14800,3.13,131000000,0.0630
63.1,14700,3.15,131000000,0.0633
63.3,14700,3.16,131000000,0.0636
63.5,14700,3.18,130000000,0.0639
63.6,14600,3.19,130000000,0.0642
63.8,14500,3.21,129000000,0.0645
64.0,14200,3.22,126000000,0.0648
64.2,12200,3.24,108000000,0.0651
64.4,11700,3.25,104000000,0.0654
64.5,11500,3.27,102000000,0.0657
64.7,11500,3.28,102000000,0.0660
64.9,11500,3.30,103000000,0.0663
65.1,11600,3.31,103000000,0.0666
65.3,11700,3.33,104000000,0.0669
65.4,11700,3.34,104000000,0.0672
65.6,11800,3.36,105000000,0.0675
65.8,11900,3.37,106000000,0.0678
66.0,12000,3.39,107000000,0.0681
66.2,12100,3.40,108000000,0.0684
66.3,12200,3.42,109000000,0.0687
66.5,12400,3.43,110000000,0.0690
66.7,12500,3.45,111000000,0.0693
66.9,12600,3.46,112000000,0.0696
67.1,12800,3.48,113000000,0.0699
67.2,12900,3.49,114000000,0.0702
67.4,13000,3.51,116000000,0.0705
67.6,13200,3.52,117000000,0.0708
67.8,13300,3.54,118000000,0.0711
67.9,13400,3.55,119000000,0.0714
68.1,13500,3.57,120000000,0.0717
68.3,13600,3.58,121000000,0.0720
68.5,13700,3.60,122000000,0.0723
68.7,13800,3.61,123000000,0.0726
68.8,13900,3.63,123000000,0.0729
69.0,13900,3.64,124000000,0.0732
69.2,14000,3.66,124000000,0.0735
69.4,13900,3.67,124000000,0.0738
69.6,13900,3.68,123000000,0.0741
69.7,13700,3.70,122000000,0.0744
69.9,13500,3.71,120000000,0.0747
70.1,13200,3.73,117000000,0.0750
70.3,13000,3.74,115000000,0.0753
70.5,12900,3.76,114000000,0.0756
70.6,12800,3.77,114000000,0.0759
70.8,12700,3.79,113000000,0.0762
71.0,12700,3.80,113000000,0.0765
71.2,12700,3.82,113000000,0.0768
71.4,12800,3.83,113000000,0.0771
71.5,12800,3.85,114000000,0.0774
71.7,12900,3.86,115000000,0.0777
71.9,13000,3.88,116000000,0.0780
72.1,13100,3.89,117000000,0.0783
72.3,13200,3.91,117000000,0.0786
72.4,13300,3.92,118000000,0.0789
72.6,13400,3.94,119000000,0.0792
72.8,13500,3.95,120000000,0.0795
73.0,13500,3.97,120000000,0.0798
73.2,13600,3.98,120000000,0.0801
73.3,13600,4.00,121000000,0.0804
73.5,13600,4.01,121000000,0.0807
73.7,13600,4.03,121000000,0.0810
73.9,13600,4.04,120000000,0.0813
74.1,13500,4.06,120000000,0.0816
74.2,13500,4.07,120000000,0.0819
74.4,13400,4.09,119000000,0.0822
74.6,13400,4.10,119000000,0.0825
74.8,13400,4.12,119000000,0.0828
75.0,13300,4.13,119000000,0.0831
75.1,13300,4.15,118000000,0.0834
75.3,13300,4.16,118000000,0.0837
75.5,13300,4.18,118000000,0.0840
75.7,13200,4.19,117000000,0.0843
75.9,13100,4.21,117000000,0.0846
76.0,13100,4.22,116000000,0.0849
76.2,13100,4.24,116000000,0.0852
76.4,13100,4.25,116000000,0.0855
76.6,13200,4.27,117000000,0.0858
76.8,13200,4.28,117000000,0.0861
76.9,13300,4.30,118000000,0.0864
77.1,13400,4.31,119000000,0.0867
77.3,13400,4.33,119000000,0.0870
77.5,13500,4.34,120000000,0.0873
77.7,13500,4.36,120000000,0.0876
77.8,13600,4.37,121000000,0.0879
78.0,13600,4.38,121000000,0.0882
78.2,13600,4.40,121000000,0.0885
78.4,13700,4.42,122000000,0.0888
78.5,13700,4.43,122000000,0.0891
78.7,13700,4.44,122000000,0.0894
78.9,13800,4.46,122000000,0.0897
79.1,13800,4.47,122000000,0.0900
79.3,13800,4.49,123000000,0.0903
79.4,13800,4.50,123000000,0.0906
79.6,13800,4.52,123000000,0.0909
79.8,13900,4.53,123000000,0.0912
80.0,13900,4.55,124000000,0.0915
80.2,14000,4.56,124000000,0.0918
80.3,14100,4.58,125000000,0.0921
80.5,14200,4.59,126000000,0.0924
80.7,14300,4.61,127000000,0.0927
80.9,14400,4.62,128000000,0.0930
81.1,14600,4.64,129000000,0.0933
81.2,14700,4.65,131000000,0.0936
81.4,14800,4.67,132000000,0.0939
81.6,14900,4.68,133000000,0.0942
81.8,15100,4.70,134000000,0.0945
82.0,15200,4.71,135000000,0.0948
82.1,15300,4.73,136000000,0.0951
82.3,15400,4.74,137000000,0.0954
82.5,15500,4.76,137000000,0.0957
82.7,15600,4.77,138000000,0.0960
82.9,15600,4.79,139000000,0.0963
83.0,15700,4.80,140000000,0.0966
83.2,15800,4.82,140000000,0.0969
83.4,15900,4.83,141000000,0.0972
83.6,15900,4.85,141000000,0.0975
83.8,16000,4.86,142000000,0.0978
83.9,16000,4.88,142000000,0.0981
84.1,16100,4.89,143000000,0.0984
84.3,16100,4.91,143000000,0.0987
84.5,16100,4.92,143000000,0.0990
84.7,16100,4.94,143000000,0.0993
84.8,16100,4.95,143000000,0.0996
85.0,16100,4.97,143000000,0.0999
85.2,16100,4.98,143000000,0.100
85.4,16100,5.00,143000000,0.100
85.6,16100,5.01,143000000,0.101
85.7,16100,5.03,143000000,0.101
85.9,16100,5.04,143000000,0.101
86.1,16200,5.06,143000000,0.102
86.3,16100,5.07,143000000,0.102
86.5,16100,5.09,143000000,0.102
86.6,16100,5.10,143000000,0.103
86.8,16100,5.11,143000000,0.103
87.0,16100,5.13,143000000,0.103
87.2,16100,5.14,143000000,0.103
87.4,16000,5.16,142000000,0.104
87.5,15900,5.17,141000000,0.104
87.7,15800,5.19,140000000,0.104
87.9,15700,5.20,139000000,0.105
88.1,15600,5.22,138000000,0.105
88.3,15500,5.23,138000000,0.105
88.4,15400,5.25,137000000,0.106
88.6,15300,5.26,136000000,0.106
88.8,15100,5.28,134000000,0.106
89.0,14900,5.29,133000000,0.106
89.1,14600,5.31,130000000,0.107
89.3,14000,5.32,124000000,0.107
89.5,13300,5.34,118000000,0.107
89.7,13100,5.35,116000000,0.108
89.9,12900,5.37,115000000,0.108
90.0,12900,5.38,115000000,0.108
90.2,12900,5.40,115000000,0.109
90.4,13000,5.41,116000000,0.109
90.6,13100,5.43,116000000,0.109
90.8,13200,5.44,117000000,0.109
90.9,13300,5.46,118000000,0.110
91.1,13400,5.47,119000000,0.110
91.3,13500,5.49,120000000,0.110
91.5,13600,5.50,121000000,0.111
91.7,13700,5.52,122000000,0.111
91.8,13800,5.53,122000000,0.111
92.0,13900,5.55,123000000,0.112
92.2,13900,5.56,124000000,0.112
92.4,14000,5.58,124000000,0.112
92.6,14100,5.59,125000000,0.112
92.7,14200,5.61,126000000,0.113
92.9,14200,5.62,126000000,0.113
93.1,14300,5.64,127000000,0.113
93.3,14300,5.65,127000000,0.114
93.5,14300,5.67,127000000,0.114
93.6,8670,5.68,77000000,0.114
93.8,8720,5.70,77500000,0.115
94.0,8860,5.71,78700000,0.115
94.2,9000,5.73,80000000,0.115
94.4,9130,5.74,81100000,0.115
94.5,9240,5.76,82100000,0.116
94.7,9350,5.77,83000000,0.116
94.9,9440,5.79,83900000,0.116
95.1,9530,5.80,84700000,0.117
95.3,9620,5.82,85500000,0.117
95.4,9710,5.83,86300000,0.117
95.6,9790,5.84,87000000,0.118
95.8,9880,5.86,87800000,0.118
96.0,9970,5.87,88600000,0.118
96.2,10100,5.89,89400000,0.118
96.3,10200,5.90,90200000,0.119
96.5,10200,5.92,91000000,0.119
96.7,10300,5.93,91800000,0.119
96.9,10400,5.95,92500000,0.120
97.1,10500,5.96,93200000,0.120
97.2,10600,5.98,94000000,0.120
97.4,10700,5.99,94700000,0.121
97.6,10700,6.01,95400000,0.121
97.8,10800,6.02,96100000,0.121
98.0,10900,6.04,96800000,0.121
98.1,11000,6.05,97500000,0.122
98.3,11000,6.07,98000000,0.122
98.5,11100,6.08,98600000,0.122
98.7,11200,6.10,99100000,0.123
