Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
3.54,23.5,0.0180,222000,0.000368
3.69,29.3,0.0298,276000,0.000609
3.84,34.7,0.0420,327000,0.000860
3.99,39.7,0.0543,374000,0.00111
4.14,44.8,0.0665,422000,0.00136
4.29,51.4,0.0787,484000,0.00161
4.44,60.3,0.0909,568000,0.00186
4.59,69.4,0.103,653000,0.00211
4.74,78.0,0.115,735000,0.00236
4.89,87.5,0.128,824000,0.00261
5.04,97.1,0.140,914000,0.00286
5.19,107,0.152,1010000,0.00311
5.34,118,0.164,1110000,0.00336
5.49,129,0.177,1220000,0.00361
5.64,141,0.189,1330000,0.00386
5.79,153,0.201,1440000,0.00411
5.94,165,0.213,1560000,0.00436
6.09,178,0.225,1680000,0.00461
6.24,191,0.238,1800000,0.00486
6.39,205,0.250,1930000,0.00511
6.54,219,0.262,2060000,0.00536
6.69,234,0.274,2200000,0.00561
6.84,248,0.286,2340000,0.00585
6.99,264,0.299,2490000,0.00610
7.14,279,0.311,2630000,0.00635
7.29,295,0.323,2780000,0.00660
7.44,311,0.335,2930000,0.00685
7.59,328,0.347,3090000,0.00710
7.74,344,0.359,3240000,0.00735
7.89,361,0.372,3400000,0.00760
8.04,379,0.384,3560000,0.00785
8.19,396,0.396,3730000,0.00810
8.34,414,0.408,3900000,0.00835
8.48,432,0.420,4070000,0.00860
8.63,451,0.433,4240000,0.00885
8.78,469,0.445,4420000,0.00910
8.93,489,0.457,4610000,0.00935
9.08,509,0.470,4790000,0.00960
9.23,530,0.482,4990000,0.00985
9.38,550,0.494,5180000,0.0101
9.53,570,0.506,5360000,0.0104
9.68,591,0.519,5570000,0.0106
9.83,615,0.531,5790000,0.0109
9.98,638,0.543,6010000,0.0111
10.1,661,0.555,6230000,0.0113
10.3,684,0.567,6440000,0.0116
10.4,708,0.579,6670000,0.0118
10.6,732,0.592,6890000,0.0121
10.7,756,0.604,7120000,0.0123
10.9,780,0.616,7350000,0.0126
11.0,805,0.628,7580000,0.0128
11.2,835,0.641,7860000,0.0131
11.3,870,0.653,8190000,0.0133
11.5,905,0.665,8520000,0.0136
11.6,939,0.677,8850000,0.0138
11.8,975,0.689,9180000,0.0141
11.9,1010,0.702,9560000,0.0143
12.1,1060,0.714,9960000,0.0146
12.2,1100,0.726,10400000,0.0148
12.4,1140,0.738,10800000,0.0151
12.5,1190,0.750,11200000,0.0153
12.7,1240,0.763,11600000,0.0156
12.8,1280,0.775,12100000,0.0158
13.0,1330,0.787,12600000,0.0161
13.1,1380,0.799,13000000,0.0163
13.3,1440,0.811,13500000,0.0166
13.4,1490,0.824,14000000,0.0168
13.6,1540,0.836,14500000,0.0171
13.7,1600,0.848,15100000,0.0173
13.9,1660,0.860,15600000,0.0176
14.0,1720,0.872,16200000,0.0178
14.2,1780,0.885,16700000,0.0181
14.3,1840,0.897,17300000,0.0183
14.5,1900,0.909,17900000,0.0186
14.6,1970,0.921,18500000,0.0188
14.8,2030,0.933,19100000,0.0191
14.9,2100,0.946,19800000,0.0193
15.1,2160,0.958,20400000,0.0196
15.2,2230,0.970,21000000,0.0198
15.4,2290,0.982,21600000,0.0201
15.5,2350,0.994,22200000,0.0203
15.7,2420,1.01,22800000,0.0206
15.8,2480,1.02,23400000,0.0208
16.0,2550,1.03,24000000,0.0211
16.1,2610,1.04,24600000,0.0213
16.3,2680,1.06,25200000,0.0216
16.4,2750,1.07,25900000,0.0218
16.6,2810,1.08,26500000,0.0221
16.7,2880,1.09,27200000,0.0223
16.9,2950,1.10,27800000,0.0226
17.0,3020,1.12,28500000,0.0228
17.2,3090,1.13,29100000,0.0231
17.3,3160,1.14,29800000,0.0233
17.5,3230,1.15,30400000,0.0236
17.6,3300,1.17,31000000,0.0238
17.8,3360,1.18,31700000,0.0241
17.9,3430,1.19,32300000,0.0243
18.1,3510,1.20,33000000,0.0246
18.2,3580,1.21,33700000,0.0248
18.4,3600,1.23,33900000,0.0251
18.5,3670,1.24,34500000,0.0253
18.7,3710,1.25,35000000,0.0256
18.8,3780,1.26,35600000,0.0258
19.0,3850,1.28,36200000,0.0261
19.1,3900,1.29,36800000,0.0263
19.3,3970,1.30,37400000,0.0266
19.4,4040,1.31,38000000,0.0268
19.6,4100,1.32,38600000,0.0271
19.7,4120,1.34,38800000,0.0273
19.9,4130,1.35,38900000,0.0276
20.0,3990,1.36,37600000,0.0278
20.2,3080,1.37,29000000,0.0281
20.3,3180,1.39,29900000,0.0283
20.5,3290,1.40,31000000,0.0286
20.6,3410,1.41,32100000,0.0288
20.8,3520,1.42,33200000,0.0291
20.9,3640,1.43,34300000,0.0293
21.1,3750,1.45,35300000,0.0296
21.2,3860,1.46,36400000,0.0298
21.4,3970,1.47,37400000,0.0301
21.5,4080,1.48,38400000,0.0303
21.7,4190,1.49,39400000,0.0306
21.8,4300,1.51,40400000,0.0308
22.0,4400,1.52,41500000,0.0311
22.1,4510,1.53,42500000,0.0313
22.3,4620,1.54,43500000,0.0316
22.4,4730,1.56,44500000,0.0318
22.6,4840,1.57,45600000,0.0321
22.7,4960,1.58,46700000,0.0323
22.9,5080,1.59,47800000,0.0326
23.0,5200,1.60,48900000,0.0328
23.2,5320,1.62,50100000,0.0331
23.3,5450,1.63,51300000,0.0333
23.5,5570,1.64,52500000,0.0336
23.6,5700,1.65,53700000,0.0338
23.8,5830,1.67,54900000,0.0341
23.9,5960,1.68,56100000,0.0343
24.1,6080,1.69,57300000,0.0346
24.2,6200,1.70,58400000,0.0348
24.4,6320,1.71,59500000,0.0351
24.5,6440,1.73,60600000,0.0353
24.7,6550,1.74,61700000,0.0356
24.8,6660,1.75,62700000,0.0358
25.0,6760,1.76,63700000,0.0361
25.1,6880,1.78,64800000,0.0363
25.3,7000,1.79,65900000,0.0366
25.4,7120,1.80,67100000,0.0368
25.6,7240,1.81,68200000,0.0371
25.7,7360,1.82,69300000,0.0373
25.9,7480,1.84,70500000,0.0376
26.0,7600,1.85,71600000,0.0378
26.2,7720,1.86,72700000,0.0381
26.3,7830,1.87,73700000,0.0383
26.5,7940,1.89,74700000,0.0386
26.6,8040,1.90,75700000,0.0388
26.8,8140,1.91,76700000,0.0391
26.9,8240,1.92,77600000,0.0393
27.1,8330,1.93,78500000,0.0396
27.2,8430,1.95,79400000,0.0398
27.3,8530,1.96,80300000,0.0401
27.5,8640,1.97,81400000,0.0403
27.6,8750,1.98,82400000,0.0406
27.8,8870,2.00,83500000,0.0408
27.9,8980,2.01,84600000,0.0411
28.1,9090,2.02,85600000,0.0413
28.2,9200,2.03,86700000,0.0416
28.4,9310,2.04,87700000,0.0418
28.5,9410,2.06,88600000,0.0421
28.7,9500,2.07,89500000,0.0423
28.8,9590,2.08,90300000,0.0426
29.0,9680,2.09,91100000,0.0428
29.1,9770,2.11,92000000,0.0431
29.3,9860,2.12,92900000,0.0433
29.4,9960,2.13,93800000,0.0435
29.6,10100,2.14,94800000,0.0438
29.7,10200,2.15,95800000,0.0440
29.9,10300,2.17,96800000,0.0443
30.0,10400,2.18,97800000,0.0445
30.2,10500,2.19,98800000,0.0448
30.3,10600,2.20,99800000,0.0450
30.5,10700,2.22,101000000,0.0453
30.6,10800,2.23,102000000,0.0455
30.8,10900,2.24,103000000,0.0458
30.9,11000,2.25,103000000,0.0460
31.1,11100,2.26,104000000,0.0463
31.2,11200,2.28,105000000,0.0465
31.4,11300,2.29,106000000,0.0468
31.5,11400,2.30,107000000,0.0470
31.7,11500,2.31,108000000,0.0473
31.8,11500,2.33,109000000,0.0475
32.0,11600,2.34,109000000,0.0478
32.1,11600,2.35,110000000,0.0480
32.3,11700,2.36,110000000,0.0483
32.4,11700,2.37,110000000,0.0485
32.6,11700,2.39,110000000,0.0488
32.7,11800,2.40,111000000,0.0490
32.9,11800,2.41,111000000,0.0493
33.0,11900,2.42,112000000,0.0495
33.2,11900,2.44,112000000,0.0498
33.3,12000,2.45,113000000,0.0500
33.5,12000,2.46,113000000,0.0503
33.6,12100,2.47,113000000,0.0505
33.8,12100,2.48,114000000,0.0508
33.9,12000,2.50,113000000,0.0510
34.1,12000,2.51,113000000,0.0513
34.2,11900,2.52,112000000,0.0515
34.4,11900,2.53,112000000,0.0518
34.5,11900,2.55,112000000,0.0520
34.7,11900,2.56,112000000,0.0523
34.8,12000,2.57,113000000,0.0525
35.0,12000,2.58,113000000,0.0528
35.1,12100,2.59,114000000,0.0530
35.3,12100,2.61,114000000,0.0533
35.4,12200,2.62,115000000,0.0535
35.6,12200,2.63,115000000,0.0538
35.7,12300,2.64,116000000,0.0540
35.9,12300,2.65,116000000,0.0543
36.0,12400,2.67,117000000,0.0545
36.2,12400,2.68,117000000,0.0548
36.3,12500,2.69,117000000,0.0550
36.5,12500,2.70,118000000,0.0553
36.6,12500,2.72,118000000,0.0555
36.8,12500,2.73,117000000,0.0558
36.9,12300,2.74,116000000,0.0560
37.1,11900,2.75,112000000,0.0563
37.2,11100,2.77,104000000,0.0565
37.4,10600,2.78,99900000,0.0568
37.5,10300,2.79,97300000,0.0570
37.7,10200,2.80,96300000,0.0573
37.8,10200,2.81,96000000,0.0575
38.0,10200,2.83,96200000,0.0578
38.1,10300,2.84,96600000,0.0580
38.3,10300,2.85,97100000,0.0583
38.4,10400,2.86,97600000,0.0585
38.6,10400,2.87,98000000,0.0588
38.7,10500,2.89,98500000,0.0590
38.9,10500,2.90,99000000,0.0593
39.0,10600,2.91,99400000,0.0595
39.2,10600,2.92,100000000,0.0598
39.3,10700,2.94,100000000,0.0600
39.5,10700,2.95,101000000,0.0603
39.6,10800,2.96,102000000,0.0605
39.8,10900,2.97,102000000,0.0608
39.9,10900,2.98,103000000,0.0610
40.1,11000,3.00,104000000,0.0613
40.2,11100,3.01,104000000,0.0615
40.4,11200,3.02,105000000,0.0618
40.5,11200,3.03,106000000,0.0620
40.7,11300,3.05,107000000,0.0623
40.8,11400,3.06,107000000,0.0625
41.0,11500,3.07,108000000,0.0628
41.1,11500,3.08,109000000,0.0630
41.3,11600,3.09,109000000,0.0633
41.4,11700,3.11,110000000,0.0635
41.6,11800,3.12,111000000,0.0638
41.7,11800,3.13,111000000,0.0640
41.9,11900,3.14,112000000,0.0643
42.0,12000,3.16,113000000,0.0645
42.2,12100,3.17,114000000,0.0648
42.3,12100,3.18,114000000,0.0650
42.5,12200,3.19,115000000,0.0653
42.6,12300,3.20,116000000,0.0655
42.8,12300,3.22,116000000,0.0658
42.9,12400,3.23,117000000,0.0660
