Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
6.26,19.3,0.0178,170000,0.000364
6.28,19.4,0.0189,171000,0.000386
6.30,19.5,0.0205,172000,0.000419
6.32,20.0,0.0223,177000,0.000456
6.34,20.5,0.0239,181000,0.000489
6.36,20.9,0.0255,185000,0.000522
6.38,21.4,0.0272,189000,0.000556
6.40,21.9,0.0287,193000,0.000587
6.42,22.4,0.0303,197000,0.000620
6.44,22.9,0.0319,202000,0.000653
6.46,23.3,0.0335,206000,0.000686
6.48,23.9,0.0352,211000,0.000720
6.50,24.4,0.0369,215000,0.000755
6.52,24.8,0.0385,219000,0.000788
6.54,25.2,0.0402,223000,0.000822
6.56,25.7,0.0418,227000,0.000853
6.58,26.1,0.0434,230000,0.000886
6.60,26.6,0.0450,234000,0.000919
6.62,27.1,0.0467,239000,0.000954
6.64,27.7,0.0483,244000,0.000987
6.66,28.2,0.0500,249000,0.00102
6.68,28.8,0.0516,254000,0.00105
6.70,29.3,0.0532,258000,0.00109
6.72,29.8,0.0548,263000,0.00112
6.74,30.4,0.0564,268000,0.00115
6.76,30.8,0.0580,271000,0.00119
6.78,31.3,0.0597,277000,0.00122
6.80,31.9,0.0614,282000,0.00125
6.82,32.4,0.0631,286000,0.00129
6.84,32.9,0.0647,291000,0.00132
6.86,33.5,0.0663,295000,0.00136
6.88,34.0,0.0679,300000,0.00139
6.90,34.5,0.0694,304000,0.00142
6.92,35.2,0.0711,310000,0.00145
6.94,35.7,0.0728,315000,0.00149
6.96,36.4,0.0745,321000,0.00152
6.98,37.0,0.0761,327000,0.00156
7.00,37.5,0.0777,331000,0.00159
7.02,38.1,0.0793,337000,0.00162
7.04,38.8,0.0809,343000,0.00165
7.06,39.4,0.0825,348000,0.00169
7.08,40.1,0.0842,354000,0.00172
7.10,40.7,0.0858,359000,0.00175
7.12,41.4,0.0875,365000,0.00179
7.14,42.0,0.0892,371000,0.00182
7.16,42.6,0.0908,376000,0.00186
7.18,43.2,0.0924,382000,0.00189
7.20,44.0,0.0940,388000,0.00192
7.22,44.5,0.0956,393000,0.00195
7.24,45.1,0.0972,398000,0.00199
7.26,45.8,0.0989,404000,0.00202
7.28,46.4,0.101,410000,0.00206
7.30,47.0,0.102,415000,0.00209
7.32,47.7,0.104,421000,0.00212
7.34,48.2,0.105,426000,0.00216
7.36,48.9,0.107,432000,0.00219
7.38,49.5,0.109,436000,0.00222
7.40,50.1,0.110,442000,0.00226
7.43,50.9,0.112,449000,0.00229
7.45,51.4,0.114,454000,0.00232
7.47,52.1,0.115,460000,0.00236
7.49,52.7,0.117,465000,0.00239
7.51,53.4,0.119,471000,0.00242
7.53,53.9,0.120,475000,0.00246
7.55,54.5,0.122,481000,0.00249
7.57,55.2,0.123,487000,0.00252
7.59,55.9,0.125,494000,0.00256
7.61,56.6,0.127,499000,0.00259
7.63,57.3,0.128,506000,0.00263
7.65,57.9,0.130,511000,0.00266
7.67,58.5,0.132,516000,0.00269
7.69,59.1,0.133,521000,0.00272
7.71,59.6,0.135,526000,0.00276
7.73,60.3,0.137,532000,0.00279
7.75,61.0,0.138,538000,0.00283
7.77,61.6,0.140,544000,0.00286
7.79,62.2,0.142,549000,0.00289
7.81,62.9,0.143,555000,0.00293
7.83,63.4,0.145,560000,0.00296
7.85,64.1,0.146,566000,0.00299
7.87,64.8,0.148,572000,0.00302
7.89,65.5,0.150,578000,0.00306
7.91,66.2,0.151,585000,0.00309
7.93,66.9,0.153,590000,0.00313
7.95,67.4,0.154,595000,0.00316
7.97,68.1,0.156,601000,0.00319
7.99,68.8,0.158,607000,0.00322
8.01,69.4,0.159,613000,0.00326
8.03,70.2,0.161,619000,0.00329
8.05,70.9,0.163,626000,0.00333
8.07,71.7,0.164,633000,0.00336
8.09,72.3,0.166,638000,0.00339
8.11,73.0,0.168,644000,0.00343
8.13,73.7,0.169,650000,0.00346
8.15,74.4,0.171,657000,0.00349
