Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
12.3,20.7,0.0236,194000,0.000478
12.4,22.1,0.0289,207000,0.000586
12.5,23.4,0.0341,219000,0.000690
12.5,24.9,0.0395,233000,0.000800
12.6,26.2,0.0448,245000,0.000907
12.6,27.9,0.0501,261000,0.00101
12.7,29.8,0.0555,279000,0.00112
12.8,31.6,0.0607,296000,0.00123
12.8,33.8,0.0661,316000,0.00134
12.9,35.5,0.0714,332000,0.00145
13.0,37.5,0.0768,350000,0.00155
13.0,39.4,0.0821,369000,0.00166
13.1,41.3,0.0873,386000,0.00177
13.2,43.2,0.0928,404000,0.00188
13.2,44.8,0.0979,419000,0.00198
13.3,46.6,0.103,436000,0.00209
13.4,48.1,0.109,450000,0.00220
13.4,49.6,0.114,464000,0.00231
13.5,51.5,0.119,482000,0.00241
13.6,53.5,0.125,500000,0.00252
13.6,55.4,0.130,518000,0.00263
13.7,57.6,0.135,539000,0.00274
13.7,60.4,0.141,565000,0.00285
13.8,62.7,0.146,586000,0.00295
13.9,64.9,0.151,607000,0.00306
13.9,68.0,0.157,636000,0.00317
14.0,75.8,0.162,709000,0.00327
14.1,83.5,0.167,781000,0.00338
14.1,90.0,0.172,841000,0.00349
14.2,96.3,0.178,900000,0.00359
14.3,102,0.183,957000,0.00370
14.3,108,0.188,1010000,0.00381
14.4,114,0.193,1070000,0.00392
14.5,119,0.199,1110000,0.00402
14.5,125,0.204,1170000,0.00413
14.6,130,0.209,1220000,0.00424
14.6,136,0.214,1270000,0.00434
14.7,142,0.220,1320000,0.00445
14.8,147,0.225,1380000,0.00456
14.8,153,0.230,1430000,0.00467
14.9,159,0.236,1490000,0.00477
15.0,166,0.241,1550000,0.00488
15.0,172,0.246,1610000,0.00499
15.1,178,0.252,1660000,0.00510
15.2,184,0.257,1720000,0.00521
15.2,191,0.262,1780000,0.00531
15.3,197,0.268,1840000,0.00542
15.4,203,0.273,1900000,0.00553
15.4,210,0.278,1960000,0.00564
15.5,217,0.284,2030000,0.00574
15.5,223,0.289,2090000,0.00585
15.6,231,0.294,2160000,0.00596
15.7,238,0.300,2230000,0.00606
15.7,246,0.305,2300000,0.00618
15.8,253,0.310,2370000,0.00628
15.9,261,0.315,2440000,0.00639
15.9,269,0.321,2520000,0.00650
16.0,277,0.326,2590000,0.00660
16.1,285,0.331,2670000,0.00671
16.1,293,0.337,2740000,0.00682
16.2,301,0.342,2820000,0.00692
16.3,310,0.347,2900000,0.00703
16.3,318,0.353,2970000,0.00714
16.4,326,0.358,3050000,0.00725
16.5,334,0.363,3130000,0.00736
16.5,342,0.369,3200000,0.00747
16.6,350,0.374,3270000,0.00757
16.6,358,0.379,3350000,0.00768
16.7,367,0.385,3430000,0.00779
16.8,377,0.390,3520000,0.00789
16.8,387,0.395,3620000,0.00800
16.9,396,0.400,3710000,0.00811
17.0,406,0.406,3800000,0.00821
17.0,417,0.411,3900000,0.00832
17.1,427,0.416,4000000,0.00843
17.2,439,0.422,4110000,0.00854
17.2,450,0.427,4210000,0.00864
17.3,462,0.432,4320000,0.00875
17.4,474,0.437,4440000,0.00886
17.4,487,0.443,4550000,0.00896
17.5,501,0.448,4680000,0.00907
17.5,514,0.453,4800000,0.00918
17.6,528,0.459,4940000,0.00929
17.7,541,0.464,5060000,0.00939
17.7,556,0.469,5200000,0.00950
17.8,571,0.475,5340000,0.00961
17.9,585,0.480,5470000,0.00971
17.9,601,0.485,5620000,0.00982
18.0,616,0.490,5760000,0.00993
18.1,632,0.496,5910000,0.0100
18.1,649,0.501,6070000,0.0101
18.2,665,0.506,6220000,0.0103
18.3,682,0.512,6380000,0.0104
18.3,699,0.517,6540000,0.0105
18.4,717,0.522,6710000,0.0106
18.4,735,0.528,6870000,0.0107
18.5,753,0.533,7040000,0.0108
18.6,771,0.538,7220000,0.0109
18.6,790,0.544,7390000,0.0110
18.7,810,0.549,7580000,0.0111
18.8,830,0.554,7760000,0.0112
18.8,850,0.560,7950000,0.0113
18.9,872,0.565,8150000,0.0114
19.0,895,0.570,8380000,0.0115
19.0,922,0.575,8630000,0.0117
19.1,949,0.581,8880000,0.0118
19.2,978,0.586,9150000,0.0119
19.2,1010,0.591,9400000,0.0120
19.3,1030,0.597,9670000,0.0121
19.3,1060,0.602,9950000,0.0122
19.4,1090,0.607,10200000,0.0123
19.5,1120,0.613,10500000,0.0124
19.5,1150,0.618,10800000,0.0125
19.6,1180,0.623,11100000,0.0126
19.7,1210,0.629,11300000,0.0127
19.7,1240,0.634,11600000,0.0128
19.8,1280,0.639,11900000,0.0129
19.9,1310,0.644,12200000,0.0130
19.9,1340,0.650,12500000,0.0132
20.0,1370,0.655,12800000,0.0133
20.1,1400,0.660,13100000,0.0134
20.1,1440,0.666,13400000,0.0135
20.2,1470,0.671,13800000,0.0136
20.3,1510,0.676,14100000,0.0137
20.3,1540,0.682,14400000,0.0138
20.4,1580,0.687,14800000,0.0139
20.4,1610,0.692,15100000,0.0140
20.5,1650,0.698,15400000,0.0141
20.6,1690,0.703,15800000,0.0142
20.6,1730,0.708,16200000,0.0143
20.7,1770,0.714,16500000,0.0144
20.8,1810,0.719,16900000,0.0146
20.8,1850,0.724,17300000,0.0147
20.9,1890,0.729,17700000,0.0148
21.0,1930,0.735,18000000,0.0149
21.0,1970,0.740,18400000,0.0150
21.1,2010,0.745,18800000,0.0151
21.2,2050,0.751,19200000,0.0152
21.2,2090,0.756,19600000,0.0153
21.3,2140,0.761,20000000,0.0154
21.3,2180,0.767,20400000,0.0155
21.4,2220,0.772,20800000,0.0156
21.5,2260,0.777,21200000,0.0157
21.5,2300,0.783,21600000,0.0158
21.6,2350,0.788,22000000,0.0160
21.7,2390,0.793,22400000,0.0161
21.7,2430,0.798,22700000,0.0162
21.8,2470,0.804,23100000,0.0163
21.9,2520,0.809,23500000,0.0164
21.9,2560,0.814,23900000,0.0165
22.0,2600,0.819,24300000,0.0166
22.1,2640,0.825,24700000,0.0167
22.1,2690,0.830,25100000,0.0168
22.2,2730,0.835,25500000,0.0169
22.2,2780,0.841,26000000,0.0170
22.3,2820,0.846,26400000,0.0171
22.4,2870,0.851,26800000,0.0172
22.4,2910,0.856,27200000,0.0173
22.5,2960,0.862,27700000,0.0174
22.6,3000,0.867,28100000,0.0176
22.6,3050,0.872,28500000,0.0177
22.7,3100,0.878,29000000,0.0178
22.8,3140,0.883,29400000,0.0179
22.8,3190,0.889,29800000,0.0180
22.9,3240,0.894,30300000,0.0181
23.0,3290,0.899,30700000,0.0182
23.0,3330,0.905,31200000,0.0183
23.1,3380,0.910,31600000,0.0184
23.2,3430,0.915,32000000,0.0185
23.2,3470,0.921,32500000,0.0186
23.3,3520,0.926,32900000,0.0187
23.3,3560,0.931,33300000,0.0189
23.4,3610,0.936,33800000,0.0190
23.5,3660,0.942,34200000,0.0191
23.5,3700,0.947,34600000,0.0192
23.6,3760,0.952,35100000,0.0193
23.7,3800,0.958,35600000,0.0194
23.7,3850,0.963,36000000,0.0195
23.8,3900,0.968,36500000,0.0196
23.9,3950,0.973,36900000,0.0197
23.9,4000,0.979,37400000,0.0198
24.0,4050,0.984,37800000,0.0199
24.1,4100,0.989,38300000,0.0200
24.1,4150,0.994,38800000,0.0201
24.2,4200,1.00,39300000,0.0202
24.2,4260,1.01,39800000,0.0204
24.3,4310,1.01,40300000,0.0205
24.4,4360,1.02,40800000,0.0206
24.4,4420,1.02,41300000,0.0207
24.5,4470,1.03,41800000,0.0208
24.6,4520,1.03,42300000,0.0209
24.6,4580,1.04,42800000,0.0210
24.7,4630,1.04,43300000,0.0211
24.8,4690,1.05,43900000,0.0212
24.8,4750,1.05,44400000,0.0213
24.9,4800,1.06,44900000,0.0214
25.0,4860,1.06,45400000,0.0215
25.0,4910,1.07,46000000,0.0216
25.1,4970,1.07,46400000,0.0217
25.1,5030,1.08,47000000,0.0219
25.2,5080,1.08,47500000,0.0220
25.3,5140,1.09,48100000,0.0221
25.3,5200,1.10,48600000,0.0222
25.4,5250,1.10,49100000,0.0223
25.5,5310,1.11,49700000,0.0224
25.5,5370,1.11,50200000,0.0225
25.6,5430,1.12,50800000,0.0226
25.7,5490,1.12,51300000,0.0227
25.7,5550,1.13,51900000,0.0228
25.8,5610,1.13,52400000,0.0229
25.9,5670,1.14,53000000,0.0230
25.9,5730,1.14,53600000,0.0231
26.0,5790,1.15,54100000,0.0233
26.1,5850,1.15,54700000,0.0234
26.1,5910,1.16,55300000,0.0235
26.2,5970,1.16,55800000,0.0236
26.2,6030,1.17,56400000,0.0237
26.3,6080,1.18,56900000,0.0238
26.4,6150,1.18,57500000,0.0239
26.4,6200,1.19,58000000,0.0240
26.5,6260,1.19,58600000,0.0241
26.6,6320,1.20,59100000,0.0242
26.6,6380,1.20,59600000,0.0243
26.7,6440,1.21,60200000,0.0244
26.8,6500,1.21,60800000,0.0245
26.8,6560,1.22,61400000,0.0247
26.9,6620,1.22,61900000,0.0248
27.0,6680,1.23,62400000,0.0249
27.0,6740,1.23,63000000,0.0250
27.1,6790,1.24,63500000,0.0251
27.1,6850,1.24,64100000,0.0252
27.2,6910,1.25,64600000,0.0253
27.3,6970,1.25,65200000,0.0254
