Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
6.23,16.2,0.0230,146000,0.000461
6.32,16.6,0.0305,151000,0.000610
6.41,17.0,0.0379,154000,0.000760
6.50,17.5,0.0454,158000,0.000909
6.59,17.8,0.0528,161000,0.00106
6.68,18.3,0.0603,166000,0.00121
6.77,18.5,0.0676,167000,0.00135
6.85,19.0,0.0752,171000,0.00151
6.94,19.2,0.0827,174000,0.00166
7.03,19.6,0.0901,177000,0.00180
7.12,19.9,0.0977,180000,0.00196
7.21,20.2,0.105,183000,0.00210
7.30,20.4,0.113,184000,0.00226
7.39,20.7,0.120,187000,0.00241
7.48,21.1,0.128,191000,0.00256
7.57,21.4,0.135,194000,0.00271
7.66,21.6,0.142,195000,0.00285
7.75,21.9,0.150,198000,0.00300
7.84,22.2,0.157,201000,0.00315
7.93,22.6,0.164,204000,0.00329
8.02,23.1,0.172,209000,0.00345
8.11,23.3,0.179,211000,0.00359
8.20,23.7,0.187,215000,0.00374
8.29,24.3,0.194,220000,0.00389
8.38,24.8,0.202,224000,0.00404
8.47,25.2,0.209,228000,0.00419
8.56,25.6,0.217,232000,0.00434
8.65,26.2,0.224,237000,0.00449
8.74,26.6,0.232,241000,0.00464
8.83,27.0,0.239,244000,0.00479
8.92,27.7,0.247,251000,0.00495
9.01,28.0,0.255,253000,0.00510
9.10,28.6,0.262,258000,0.00525
9.19,29.1,0.270,263000,0.00540
9.28,29.6,0.277,268000,0.00555
9.37,30.1,0.284,272000,0.00570
9.46,30.7,0.292,277000,0.00584
9.54,31.1,0.299,281000,0.00599
9.63,31.6,0.307,286000,0.00614
9.72,32.1,0.314,290000,0.00629
9.81,32.7,0.322,296000,0.00644
9.90,33.0,0.329,298000,0.00659
9.99,33.6,0.337,304000,0.00674
10.1,33.9,0.344,306000,0.00689
10.2,34.4,0.351,311000,0.00704
10.3,35.0,0.359,316000,0.00719
10.4,35.3,0.366,319000,0.00734
10.4,36.0,0.374,326000,0.00749
10.5,36.5,0.381,330000,0.00764
10.6,37.0,0.389,335000,0.00778
10.7,37.5,0.396,339000,0.00793
10.8,38.2,0.404,345000,0.00809
10.9,38.7,0.411,350000,0.00823
11.0,39.3,0.419,355000,0.00838
11.1,40.0,0.426,362000,0.00853
11.2,40.4,0.433,366000,0.00868
11.2,41.0,0.441,371000,0.00883
11.3,41.8,0.448,378000,0.00898
11.4,42.4,0.456,383000,0.00913
11.5,43.1,0.463,390000,0.00928
11.6,43.6,0.471,395000,0.00943
11.7,44.3,0.478,401000,0.00958
11.8,45.0,0.486,407000,0.00973
11.9,45.6,0.493,412000,0.00988
12.0,46.3,0.501,419000,0.0100
12.1,46.7,0.508,422000,0.0102
12.1,47.4,0.516,429000,0.0103
12.2,47.9,0.523,434000,0.0105
12.3,48.4,0.531,437000,0.0106
12.4,49.0,0.538,444000,0.0108
12.5,49.7,0.546,450000,0.0109
12.6,50.4,0.553,456000,0.0111
12.7,50.8,0.561,460000,0.0112
12.8,51.4,0.568,465000,0.0114
12.9,52.0,0.575,470000,0.0115
13.0,52.6,0.583,475000,0.0117
13.0,53.2,0.591,482000,0.0118
13.1,53.5,0.598,484000,0.0120
13.2,54.1,0.605,489000,0.0121
13.3,54.9,0.613,497000,0.0123
13.4,55.4,0.620,501000,0.0124
13.5,56.3,0.628,509000,0.0126
13.6,56.8,0.635,514000,0.0127
13.7,57.5,0.643,520000,0.0129
13.8,58.2,0.650,526000,0.0130
13.8,58.7,0.658,531000,0.0132
13.9,59.4,0.665,537000,0.0133
14.0,59.4,0.673,538000,0.0135
14.1,59.9,0.680,542000,0.0136
14.2,60.0,0.687,543000,0.0138
14.3,60.5,0.695,547000,0.0139
14.4,61.5,0.702,557000,0.0141
14.5,62.1,0.710,562000,0.0142
14.6,62.9,0.717,569000,0.0144
14.7,63.3,0.725,573000,0.0145
14.7,64.0,0.732,579000,0.0147
14.8,64.8,0.740,586000,0.0148
14.9,65.3,0.747,590000,0.0150
15.0,66.3,0.755,599000,0.0151
