Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
4.08,16.3,0.0180,145000,0.000359
4.18,16.6,0.0258,148000,0.000515
4.28,18.3,0.0343,163000,0.000684
4.38,20.1,0.0427,179000,0.000852
4.48,22.1,0.0510,196000,0.00102
4.59,23.8,0.0594,212000,0.00119
4.69,26.2,0.0678,234000,0.00135
4.79,29.1,0.0761,259000,0.00152
4.89,32.0,0.0847,285000,0.00169
4.99,34.6,0.0930,308000,0.00185
5.09,37.0,0.101,330000,0.00202
5.19,40.1,0.110,357000,0.00219
5.29,42.5,0.118,379000,0.00236
5.39,44.8,0.126,399000,0.00252
5.49,47.4,0.135,422000,0.00269
5.59,49.8,0.143,443000,0.00286
5.69,51.9,0.152,462000,0.00302
5.79,53.8,0.160,479000,0.00319
5.89,55.8,0.168,497000,0.00336
5.99,57.7,0.177,514000,0.00353
6.09,60.1,0.185,535000,0.00370
6.19,62.3,0.194,554000,0.00386
6.29,64.6,0.202,576000,0.00403
6.39,67.2,0.211,599000,0.00420
6.49,69.6,0.219,620000,0.00436
6.59,72.7,0.227,648000,0.00453
6.69,75.4,0.236,671000,0.00470
6.79,78.0,0.244,694000,0.00487
6.90,80.2,0.253,714000,0.00504
7.00,82.5,0.261,735000,0.00520
7.10,85.1,0.269,758000,0.00537
7.20,87.6,0.278,780000,0.00554
7.30,90.0,0.286,802000,0.00571
7.40,92.8,0.294,826000,0.00587
7.50,95.2,0.303,847000,0.00604
7.60,97.5,0.311,868000,0.00621
7.70,100,0.320,891000,0.00638
7.80,103,0.328,915000,0.00654
7.90,105,0.337,936000,0.00671
8.00,107,0.345,955000,0.00688
8.10,110,0.353,978000,0.00705
8.20,113,0.362,1000000,0.00721
8.30,115,0.370,1030000,0.00738
8.40,118,0.379,1050000,0.00755
8.50,124,0.387,1100000,0.00772
8.60,131,0.395,1170000,0.00788
8.70,138,0.404,1230000,0.00805
8.80,144,0.412,1280000,0.00822
8.90,150,0.420,1340000,0.00838
9.00,157,0.429,1400000,0.00856
9.10,164,0.437,1460000,0.00872
9.21,171,0.446,1520000,0.00889
9.31,177,0.454,1580000,0.00906
9.41,186,0.463,1650000,0.00923
9.51,192,0.471,1710000,0.00939
9.61,198,0.479,1770000,0.00956
9.71,207,0.488,1840000,0.00973
9.81,213,0.496,1900000,0.00989
9.91,220,0.505,1960000,0.0101
10.0,228,0.513,2030000,0.0102
10.1,235,0.521,2090000,0.0104
10.2,242,0.530,2160000,0.0106
10.3,250,0.538,2230000,0.0107
10.4,258,0.547,2290000,0.0109
10.5,266,0.555,2360000,0.0111
10.6,274,0.563,2440000,0.0112
10.7,282,0.572,2510000,0.0114
10.8,292,0.580,2600000,0.0116
10.9,301,0.589,2680000,0.0117
11.0,311,0.597,2770000,0.0119
11.1,321,0.605,2860000,0.0121
11.2,331,0.614,2950000,0.0122
11.3,341,0.622,3030000,0.0124
11.4,352,0.631,3130000,0.0126
11.5,362,0.639,3230000,0.0127
11.6,373,0.647,3330000,0.0129
11.7,385,0.656,3430000,0.0131
11.8,397,0.664,3530000,0.0132
11.9,408,0.673,3630000,0.0134
12.0,420,0.681,3740000,0.0136
12.1,432,0.689,3850000,0.0137
12.2,445,0.698,3960000,0.0139
12.3,457,0.706,4070000,0.0141
12.4,470,0.714,4190000,0.0142
12.5,484,0.723,4310000,0.0144
