Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
15.3,19.2,0.0176,173000,0.000343
15.4,20.7,0.0277,187000,0.000539
15.5,22.1,0.0380,199000,0.000740
15.6,23.3,0.0483,210000,0.000942
15.8,25.6,0.0585,230000,0.00114
15.9,27.9,0.0686,251000,0.00134
16.0,30.3,0.0788,273000,0.00154
16.1,32.7,0.0889,295000,0.00173
16.2,35.3,0.0993,318000,0.00194
16.4,38.2,0.110,344000,0.00214
16.5,41.4,0.120,373000,0.00234
16.6,43.8,0.130,395000,0.00254
16.7,46.6,0.140,420000,0.00274
16.8,50.1,0.151,451000,0.00294
17.0,54.3,0.161,489000,0.00314
17.1,58.3,0.171,525000,0.00334
17.2,62.1,0.181,560000,0.00354
17.3,65.9,0.192,594000,0.00374
17.4,68.9,0.202,621000,0.00394
17.6,72.2,0.212,651000,0.00414
17.7,74.8,0.222,674000,0.00433
17.8,78.4,0.233,706000,0.00453
17.9,83.7,0.243,754000,0.00473
18.0,89.8,0.253,809000,0.00493
18.2,95.9,0.263,864000,0.00513
18.3,102,0.274,922000,0.00533
18.4,109,0.284,978000,0.00553
18.5,115,0.294,1030000,0.00573
18.6,121,0.304,1090000,0.00593
18.8,129,0.315,1160000,0.00613
18.9,136,0.325,1220000,0.00633
19.0,145,0.335,1300000,0.00653
19.1,156,0.345,1410000,0.00673
19.2,173,0.355,1560000,0.00693
19.4,192,0.366,1730000,0.00713
19.5,211,0.376,1900000,0.00733
19.6,230,0.386,2070000,0.00753
19.7,250,0.396,2250000,0.00773
19.8,268,0.407,2410000,0.00793
20.0,287,0.417,2580000,0.00813
20.1,304,0.427,2740000,0.00833
20.2,321,0.437,2900000,0.00852
20.3,338,0.448,3050000,0.00872
20.4,354,0.458,3190000,0.00892
20.6,371,0.468,3340000,0.00912
20.7,387,0.478,3490000,0.00932
20.8,404,0.488,3640000,0.00952
20.9,422,0.499,3800000,0.00972
21.0,440,0.509,3960000,0.00992
21.2,456,0.519,4110000,0.0101
21.3,472,0.530,4260000,0.0103
21.4,489,0.540,4400000,0.0105
21.5,507,0.550,4570000,0.0107
21.6,525,0.560,4730000,0.0109
21.8,543,0.571,4890000,0.0111
21.9,561,0.581,5050000,0.0113
22.0,581,0.591,5230000,0.0115
22.1,603,0.601,5430000,0.0117
22.2,625,0.612,5630000,0.0119
22.4,650,0.622,5850000,0.0121
22.5,676,0.632,6090000,0.0123
22.6,702,0.642,6330000,0.0125
22.7,730,0.653,6580000,0.0127
22.8,761,0.663,6860000,0.0129
23.0,793,0.673,7150000,0.0131
23.1,826,0.683,7440000,0.0133
23.2,859,0.693,7740000,0.0135
23.3,892,0.704,8040000,0.0137
23.4,930,0.714,8380000,0.0139
23.6,977,0.724,8810000,0.0141
23.7,1040,0.734,9390000,0.0143
23.8,1100,0.744,9950000,0.0145
23.9,1160,0.755,10500000,0.0147
24.0,1220,0.765,11000000,0.0149
24.2,1280,0.775,11600000,0.0151
24.3,1350,0.786,12100000,0.0153
24.4,1410,0.796,12700000,0.0155
24.5,1470,0.806,13300000,0.0157
24.6,1530,0.816,13800000,0.0159
24.8,1600,0.827,14400000,0.0161
24.9,1670,0.837,15100000,0.0163
25.0,1750,0.847,15700000,0.0165
25.1,1820,0.857,16400000,0.0167
25.2,1900,0.867,17100000,0.0169
25.4,1980,0.878,17800000,0.0171
25.5,2060,0.888,18600000,0.0173
25.6,2140,0.898,19300000,0.0175
25.7,2220,0.909,20000000,0.0177
25.8,2290,0.919,20700000,0.0179
25.9,2370,0.929,21400000,0.0181
26.1,2450,0.939,22100000,0.0183
26.2,2530,0.950,22800000,0.0185
26.3,2610,0.960,23500000,0.0187
26.4,2680,0.970,24200000,0.0189
26.5,2760,0.980,24900000,0.0191
26.7,2840,0.990,25600000,0.0193
26.8,2920,1.00,26300000,0.0195
26.9,3010,1.01,27100000,0.0197
27.0,3090,1.02,27800000,0.0199
27.1,3170,1.03,28500000,0.0201
27.3,3250,1.04,29300000,0.0203
27.4,3340,1.05,30100000,0.0205
27.5,3420,1.06,30800000,0.0207
27.6,3510,1.07,31600000,0.0209
27.7,3590,1.08,32400000,0.0211
27.9,3680,1.09,33100000,0.0213
28.0,3770,1.10,33900000,0.0215
28.1,3850,1.11,34700000,0.0217
28.2,3940,1.12,35500000,0.0219
28.3,4010,1.13,36100000,0.0221
28.5,4090,1.14,36900000,0.0223
28.6,4160,1.15,37500000,0.0225
28.7,4230,1.16,38100000,0.0227
28.8,4300,1.17,38700000,0.0229
28.9,4360,1.19,39200000,0.0231
29.1,4420,1.20,39800000,0.0233
29.2,4470,1.21,40300000,0.0235
29.3,4530,1.22,40900000,0.0237
29.4,4600,1.23,41400000,0.0239
29.5,4650,1.24,41900000,0.0241
29.7,4710,1.25,42400000,0.0243
29.8,4770,1.26,43000000,0.0245
29.9,4830,1.27,43500000,0.0247
30.0,4890,1.28,44000000,0.0249
30.1,4950,1.29,44600000,0.0251
30.3,5010,1.30,45200000,0.0253
30.4,5080,1.31,45800000,0.0255
30.5,5150,1.32,46400000,0.0257
30.6,5220,1.33,47000000,0.0259
