Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
6.68,22.0,0.0176,219000,0.000361
6.81,21.5,0.0278,214000,0.000571
6.94,21.8,0.0388,217000,0.000795
7.08,22.1,0.0497,219000,0.00102
7.21,22.4,0.0606,223000,0.00124
7.34,23.0,0.0714,229000,0.00146
7.48,23.2,0.0823,231000,0.00169
7.61,23.0,0.0930,229000,0.00191
7.74,23.0,0.104,228000,0.00213
7.88,23.0,0.115,229000,0.00235
8.01,23.3,0.126,232000,0.00257
8.14,23.2,0.136,231000,0.00279
8.28,23.6,0.147,234000,0.00302
8.41,24.5,0.158,244000,0.00324
8.54,25.3,0.169,251000,0.00346
8.68,26.1,0.180,259000,0.00368
8.81,26.9,0.191,267000,0.00391
8.94,27.8,0.201,277000,0.00413
9.08,29.0,0.212,289000,0.00435
9.21,30.6,0.223,304000,0.00458
9.34,32.1,0.234,319000,0.00480
9.48,33.8,0.245,336000,0.00502
9.61,35.6,0.256,354000,0.00524
9.74,37.2,0.267,370000,0.00546
9.88,38.8,0.277,386000,0.00569
10.0,41.0,0.288,408000,0.00591
10.1,43.0,0.299,427000,0.00613
10.3,44.7,0.310,444000,0.00635
10.4,47.0,0.321,467000,0.00657
10.5,49.1,0.331,489000,0.00679
10.7,51.5,0.342,513000,0.00702
10.8,53.9,0.353,536000,0.00724
10.9,56.5,0.364,562000,0.00746
11.1,59.3,0.375,590000,0.00768
11.2,62.2,0.385,619000,0.00790
11.3,65.6,0.396,652000,0.00812
11.5,69.5,0.407,692000,0.00835
11.6,73.1,0.418,727000,0.00857
11.7,76.9,0.429,765000,0.00879
11.9,80.7,0.440,803000,0.00902
12.0,84.3,0.451,839000,0.00924
12.1,87.9,0.461,874000,0.00946
12.3,91.8,0.472,913000,0.00968
12.4,97.1,0.483,966000,0.00991
12.5,103,0.494,1020000,0.0101
12.7,110,0.505,1090000,0.0104
12.8,118,0.516,1170000,0.0106
12.9,125,0.527,1240000,0.0108
13.1,131,0.537,1300000,0.0110
13.2,136,0.548,1350000,0.0112
13.3,142,0.559,1410000,0.0115
13.5,148,0.570,1470000,0.0117
13.6,155,0.581,1540000,0.0119
13.7,163,0.592,1620000,0.0121
13.9,171,0.602,1700000,0.0124
14.0,179,0.613,1780000,0.0126
14.1,188,0.624,1870000,0.0128
14.3,197,0.634,1960000,0.0130
14.4,208,0.645,2070000,0.0132
14.5,220,0.656,2180000,0.0135
14.7,231,0.667,2300000,0.0137
14.8,245,0.678,2440000,0.0139
14.9,258,0.689,2570000,0.0141
15.1,273,0.700,2720000,0.0143
15.2,288,0.711,2870000,0.0146
15.3,303,0.722,3010000,0.0148
15.5,318,0.733,3160000,0.0150
15.6,333,0.743,3310000,0.0152
15.7,348,0.754,3470000,0.0155
15.9,364,0.765,3630000,0.0157
16.0,381,0.776,3790000,0.0159
16.1,400,0.786,3980000,0.0161
16.3,420,0.797,4170000,0.0163
16.4,442,0.808,4390000,0.0166
16.5,465,0.819,4620000,0.0168
16.7,491,0.830,4880000,0.0170
16.8,532,0.841,5300000,0.0172
16.9,577,0.851,5740000,0.0175
17.1,623,0.862,6200000,0.0177
17.2,670,0.873,6670000,0.0179
17.3,715,0.884,7110000,0.0181
17.5,760,0.895,7560000,0.0183
17.6,807,0.906,8020000,0.0186
17.7,856,0.917,8510000,0.0188
17.9,910,0.927,9050000,0.0190
18.0,965,0.938,9600000,0.0192
18.1,1020,0.949,10100000,0.0195
18.3,1080,0.960,10700000,0.0197
18.4,1130,0.971,11300000,0.0199
18.5,1190,0.982,11900000,0.0201
18.7,1250,0.993,12500000,0.0204
18.8,1320,1.00,13100000,0.0206
18.9,1380,1.01,13700000,0.0208
19.1,1440,1.03,14300000,0.0210
19.2,1500,1.04,14900000,0.0212
19.3,1560,1.05,15500000,0.0215
19.5,1620,1.06,16100000,0.0217
19.6,1680,1.07,16700000,0.0219
19.7,1740,1.08,17300000,0.0221
19.9,1800,1.09,18000000,0.0224
20.0,1860,1.10,18500000,0.0226
20.1,1920,1.11,19100000,0.0228
20.3,1980,1.12,19700000,0.0230
20.4,2040,1.13,20300000,0.0232
20.5,2100,1.14,20900000,0.0235
20.7,2160,1.16,21500000,0.0237
20.8,2220,1.17,22100000,0.0239
20.9,2290,1.18,22800000,0.0241
21.1,2350,1.19,23400000,0.0244
21.2,2420,1.20,24100000,0.0246
21.3,2490,1.21,24700000,0.0248
21.5,2550,1.22,25300000,0.0250
21.6,2610,1.23,26000000,0.0252
