Time (sec),Force (N),Position (mm),Stress (Pa),Strain (%)
2.29,30.6,0.0227,261000,0.0227
2.29,30.6,0.0229,262000,0.0229
2.29,30.7,0.0230,262000,0.0230
2.29,30.7,0.0232,262000,0.0232
2.29,30.7,0.0234,263000,0.0234
2.29,30.8,0.0236,263000,0.0236
2.29,30.8,0.0237,264000,0.0237
2.29,30.9,0.0239,264000,0.0239
2.29,31.0,0.0240,264000,0.0240
2.29,31.0,0.0242,265000,0.0242
2.30,31.1,0.0243,265000,0.0243
2.30,31.1,0.0245,266000,0.0245
2.30,31.1,0.0247,266000,0.0247
2.30,31.2,0.0248,266000,0.0248
2.30,31.3,0.0250,267000,0.0251
2.30,31.3,0.0251,267000,0.0252
2.30,31.3,0.0253,268000,0.0254
2.30,31.4,0.0255,268000,0.0256
2.30,31.5,0.0256,269000,0.0257
2.30,31.5,0.0258,269000,0.0259
2.31,31.6,0.0259,270000,0.0260
2.31,31.6,0.0261,270000,0.0262
2.31,31.7,0.0262,271000,0.0263
2.31,31.7,0.0264,271000,0.0265
2.31,31.8,0.0266,271000,0.0267
2.31,31.8,0.0267,272000,0.0268
2.31,31.8,0.0269,272000,0.0270
2.31,31.9,0.0270,272000,0.0271
2.31,32.0,0.0272,273000,0.0273
2.31,32.0,0.0274,273000,0.0275
2.32,32.0,0.0275,274000,0.0276
2.32,32.1,0.0277,274000,0.0278
2.32,32.1,0.0279,274000,0.0280
2.32,32.1,0.0281,275000,0.0282
2.32,32.2,0.0282,275000,0.0283
2.32,32.2,0.0284,275000,0.0285
2.32,32.3,0.0286,276000,0.0287
2.32,32.3,0.0287,276000,0.0288
2.32,32.4,0.0289,277000,0.0290
2.32,32.4,0.0291,277000,0.0292
2.33,32.5,0.0293,277000,0.0294
2.33,32.5,0.0294,278000,0.0295
2.33,32.6,0.0296,278000,0.0297
2.33,32.6,0.0298,279000,0.0299
2.33,32.7,0.0300,279000,0.0301
2.33,32.7,0.0302,279000,0.0303
2.33,32.7,0.0304,280000,0.0305
2.33,32.8,0.0305,280000,0.0306
2.33,32.9,0.0307,281000,0.0308
2.33,32.9,0.0309,281000,0.0310
2.34,33.0,0.0311,282000,0.0312
2.34,33.0,0.0313,282000,0.0314
2.34,33.1,0.0314,283000,0.0315
2.34,33.1,0.0316,283000,0.0317
2.34,33.1,0.0318,283000,0.0319
2.34,33.2,0.0319,284000,0.0320
2.34,33.3,0.0321,284000,0.0322
2.34,33.3,0.0323,285000,0.0324
2.34,33.3,0.0324,285000,0.0325
2.34,33.4,0.0326,285000,0.0327
2.35,33.4,0.0328,286000,0.0329
2.35,33.5,0.0329,287000,0.0330
2.35,33.6,0.0331,287000,0.0332
2.35,33.6,0.0332,287000,0.0333
2.35,33.7,0.0334,288000,0.0335
2.35,33.7,0.0335,288000,0.0336
2.35,33.8,0.0337,289000,0.0338
2.35,33.8,0.0339,289000,0.0340
2.35,33.8,0.0340,289000,0.0341
2.35,33.9,0.0342,290000,0.0343
2.36,34.0,0.0343,290000,0.0344
2.36,34.0,0.0345,291000,0.0346
2.36,34.1,0.0346,291000,0.0347
2.36,34.1,0.0348,291000,0.0349
2.36,34.2,0.0350,292000,0.0351
2.36,34.3,0.0351,293000,0.0352
2.36,34.3,0.0353,293000,0.0354
2.36,34.3,0.0354,293000,0.0355
2.36,34.3,0.0356,293000,0.0357
2.36,34.4,0.0358,294000,0.0359
2.37,34.5,0.0359,294000,0.0360
2.37,34.5,0.0361,295000,0.0362
2.37,34.5,0.0363,295000,0.0364
2.37,34.6,0.0364,295000,0.0365
2.37,34.7,0.0366,296000,0.0367
2.37,34.7,0.0368,297000,0.0369
2.37,34.8,0.0370,297000,0.0371
2.37,34.8,0.0371,297000,0.0372
2.37,34.9,0.0373,298000,0.0374
2.37,35.0,0.0375,299000,0.0376
2.38,35.0,0.0376,299000,0.0377
2.38,35.0,0.0378,299000,0.0379
2.38,35.1,0.0379,300000,0.0380
2.38,35.1,0.0381,300000,0.0382
2.38,35.2,0.0383,301000,0.0384
2.38,35.3,0.0384,301000,0.0385
2.38,35.3,0.0386,302000,0.0387
2.38,35.3,0.0387,302000,0.0388
2.38,35.4,0.0389,303000,0.0390
2.38,35.5,0.0391,303000,0.0392
2.38,35.5,0.0392,304000,0.0393
2.39,35.6,0.0394,304000,0.0395
2.39,35.6,0.0395,304000,0.0396
2.39,35.7,0.0397,305000,0.0398
2.39,35.7,0.0398,305000,0.0399
2.39,35.7,0.0400,305000,0.0401
2.39,35.7,0.0402,305000,0.0403
2.39,35.8,0.0404,306000,0.0405
2.39,35.8,0.0405,306000,0.0406
2.39,35.9,0.0407,307000,0.0408
2.40,35.9,0.0408,307000,0.0409
2.40,36.0,0.0410,307000,0.0411
2.40,36.0,0.0412,308000,0.0413
2.40,36.1,0.0413,308000,0.0414
2.40,36.1,0.0415,308000,0.0416
2.40,36.1,0.0417,309000,0.0418
2.40,36.1,0.0418,309000,0.0419
2.40,36.2,0.0420,309000,0.0421
2.40,36.2,0.0422,310000,0.0423
2.40,36.3,0.0424,310000,0.0425
2.40,36.3,0.0425,310000,0.0426
2.41,36.3,0.0427,310000,0.0428
2.41,36.4,0.0429,311000,0.0430
2.41,36.4,0.0431,311000,0.0432
2.41,36.4,0.0433,311000,0.0434
2.41,36.4,0.0435,311000,0.0436
2.41,36.5,0.0436,312000,0.0437
2.41,36.5,0.0438,312000,0.0439
2.41,36.5,0.0440,312000,0.0441
2.41,36.6,0.0442,312000,0.0443
2.42,36.6,0.0443,313000,0.0444
2.42,36.7,0.0445,313000,0.0446
2.42,36.7,0.0447,314000,0.0448
2.42,36.7,0.0448,314000,0.0449
2.42,36.8,0.0450,314000,0.0451
2.42,36.8,0.0452,314000,0.0453
2.42,36.8,0.0453,315000,0.0454
2.42,36.9,0.0455,315000,0.0456
2.42,36.9,0.0457,315000,0.0458
2.42,36.9,0.0458,316000,0.0459
2.42,37.0,0.0460,316000,0.0461
2.43,37.0,0.0461,316000,0.0462
2.43,37.0,0.0463,316000,0.0464
2.43,37.1,0.0465,317000,0.0466
2.43,37.1,0.0466,317000,0.0467
