Time (sec),Force (N),Position (mm),Stress (Pa),Strain (%)
4.97,33.1,0.0318,247000,0.0323
5.00,34.9,0.0370,261000,0.0375
5.03,36.8,0.0424,275000,0.0430
5.06,39.0,0.0476,292000,0.0484
5.10,41.0,0.0529,306000,0.0537
5.13,42.8,0.0584,319000,0.0593
5.16,44.3,0.0637,331000,0.0646
5.19,46.2,0.0691,345000,0.0702
5.23,47.8,0.0743,357000,0.0755
5.26,49.5,0.0797,370000,0.0809
5.29,51.2,0.0851,382000,0.0864
5.32,52.8,0.0902,394000,0.0916
5.35,54.6,0.0957,408000,0.0971
5.39,56.2,0.101,419000,0.102
5.42,57.8,0.106,431000,0.108
5.45,59.5,0.111,444000,0.113
5.48,61.1,0.117,456000,0.119
5.52,62.9,0.122,470000,0.124
5.55,64.5,0.127,482000,0.129
5.58,66.3,0.133,495000,0.135
5.61,68.4,0.138,511000,0.140
5.65,70.5,0.143,527000,0.146
5.68,72.6,0.149,542000,0.151
5.71,74.4,0.154,556000,0.156
5.74,76.6,0.159,572000,0.162
5.78,78.5,0.164,587000,0.167
5.81,81.0,0.170,605000,0.173
5.84,83.1,0.175,620000,0.178
5.87,85.4,0.180,638000,0.183
5.91,87.8,0.186,656000,0.189
5.94,90.1,0.191,673000,0.194
5.97,92.6,0.196,692000,0.199
6.00,94.7,0.202,707000,0.205
6.03,97.1,0.207,725000,0.210
6.07,99.5,0.212,743000,0.216
6.10,102,0.218,761000,0.221
6.13,104,0.223,780000,0.226
6.16,107,0.228,797000,0.232
6.20,109,0.234,817000,0.237
6.23,112,0.239,837000,0.243
6.26,115,0.244,857000,0.248
6.29,117,0.250,877000,0.254
6.33,120,0.255,897000,0.259
6.36,123,0.260,920000,0.264
6.39,126,0.265,941000,0.270
6.42,129,0.271,965000,0.275
6.46,132,0.276,989000,0.280
6.49,136,0.282,1010000,0.286
6.52,139,0.287,1040000,0.291
6.55,142,0.292,1060000,0.297
6.59,145,0.298,1090000,0.302
6.62,149,0.303,1110000,0.307
6.65,152,0.308,1130000,0.313
6.68,155,0.314,1160000,0.318
6.71,158,0.319,1180000,0.324
6.75,161,0.324,1200000,0.329
6.78,165,0.330,1230000,0.335
6.81,169,0.335,1260000,0.340
6.84,172,0.340,1290000,0.346
6.88,176,0.346,1320000,0.351
6.91,180,0.351,1350000,0.356
6.94,185,0.356,1380000,0.362
6.97,189,0.362,1410000,0.367
7.01,193,0.367,1440000,0.372
7.04,198,0.372,1480000,0.378
7.07,203,0.377,1510000,0.383
7.10,208,0.383,1550000,0.388
7.14,214,0.388,1600000,0.394
7.17,219,0.393,1640000,0.399
7.20,225,0.399,1680000,0.405
7.23,231,0.404,1730000,0.410
7.27,238,0.409,1770000,0.415
7.30,244,0.415,1820000,0.421
7.33,250,0.420,1870000,0.426
7.36,257,0.425,1920000,0.432
7.39,264,0.430,1970000,0.437
7.43,270,0.436,2020000,0.443
7.46,277,0.441,2070000,0.448
7.49,283,0.446,2120000,0.453
7.52,291,0.452,2170000,0.459
7.56,298,0.457,2220000,0.464
7.59,307,0.462,2290000,0.470
7.62,317,0.468,2370000,0.475
7.65,328,0.473,2450000,0.480
7.69,341,0.478,2540000,0.486
7.72,354,0.484,2640000,0.491
7.75,368,0.489,2750000,0.497
7.78,382,0.494,2850000,0.502
7.82,397,0.499,2970000,0.507
7.85,413,0.505,3080000,0.513
7.88,428,0.510,3190000,0.518
7.91,444,0.515,3320000,0.523
7.95,460,0.521,3430000,0.529
7.98,476,0.526,3560000,0.534
8.01,494,0.531,3690000,0.540
8.04,513,0.537,3830000,0.545
8.07,535,0.542,4000000,0.550
8.11,556,0.547,4160000,0.556
8.14,580,0.553,4330000,0.561
8.17,602,0.558,4500000,0.567
8.20,626,0.563,4670000,0.572
8.24,650,0.569,4850000,0.577
8.27,674,0.574,5030000,0.583
8.30,699,0.580,5220000,0.588
8.33,722,0.585,5390000,0.594
8.37,748,0.590,5580000,0.599
8.40,772,0.595,5770000,0.605
8.43,799,0.601,5960000,0.610
8.46,826,0.606,6170000,0.615
8.50,852,0.611,6360000,0.621
8.53,880,0.617,6580000,0.626
8.56,908,0.622,6780000,0.632
8.59,937,0.627,6990000,0.637
8.63,965,0.633,7210000,0.642
